Feature,Biological anomaly,Category,Clinical group,Clinical subtype,Clinical syndrome,Disease,Etiological subtype,Histopathological subtype,Malformation syndrome,Morphological anomaly,Particular clinical situation in a disease or syndrome
gene_ACTA1,-0.00118979560729138,-0.001026097523299819,-0.0011833836276500045,-0.001666915695925559,-0.0007524390352341123,0.01253242503325904,-0.00163952932275482,-0.0006590494484779854,-0.0025698840876885822,-0.0012740120780470783,-0.0005713186068897568
gene_COL7A1,-0.002141564038635299,-0.0013305171850022306,-0.002097566410319665,0.017232349979771754,-0.001220479998500209,0.004715868741684653,-0.003946130995991793,-0.0007902306602546957,-0.007202764489244553,-0.0024142589388215065,-0.0008047060046865534
gene_PTCH1,-0.0006220193232057943,-0.0010311146440104054,-0.0013268723223117597,-0.0015847777286498526,-0.0013027739977431408,-0.0024071511316361154,-0.001533059786039428,-0.0005437878635757759,0.012694188698830058,-0.0015640761116049175,-0.0007785557900528551
gene_TP63,-0.0008072246983572017,-0.0007607709057456203,-0.0008771934468176426,0.007521218991422812,-0.0006556575100573719,-0.0013080376615089034,-0.0012633944443898397,-0.00044161418095414436,0.00044129087171552295,-0.0013863458122576522,-0.00046227120304995564
gene_PRPH2,-0.0005111718843629205,-0.0003689621337497488,-0.00043282893970441493,-0.0005546639527144577,-0.00030792530282177814,0.004109366239897847,-0.0005480810573744411,-0.0003195149502780307,-0.0005047395854813527,-0.00034023150448411906,-0.0002212469289266841
gene_ABCB6,-0.004757749241607436,-0.009498685533098959,-0.00708291684339181,-0.007415933089654693,-0.0046544695137782244,-0.004725670820700883,-0.006366033778307233,-0.005395605857739986,-0.0008984815313278374,0.0554230438014272,-0.004627497591819983
gene_HNF1B,-0.005459681794089284,-0.004201604112872393,-0.005549874380914703,0.0409467848169717,-0.006708069082552963,-0.011293631500986069,-0.007919210913753291,-0.0051133001440216465,-0.0069225795517040565,0.017678191588596355,-0.005457024924673821
gene_FLT3,-0.0017110370356720945,-0.002452221994729085,-0.0031620230429930066,-0.0035010991309496553,-0.006837904712227577,-0.001117952453927144,0.03322773500330742,-0.00596436496554779,-0.002365806736872457,-0.002639682727412419,-0.0034756422029764
gene_NODAL,-0.0007633200054185948,-0.0015568611492069728,-0.0013015331536288248,-0.0014280756341787113,-0.0007546347697381641,-0.0010662322171892966,-0.0010696582103578059,-0.0009019562598945841,-0.0015127119367868756,0.011074696666129435,-0.0007197133297295781
gene_TRPV4,-0.0012691396387907678,-0.0011585070046730675,-0.0014056681771072248,-0.0016863328310574163,-0.0010201696760282187,0.0060301601572281685,-0.002028298439805227,-0.0008390659992500674,0.005848985259998723,-0.001787015052592816,-0.0006849485979221819
gene_TERT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene_GDF5,-0.0009601066119961843,-0.000819482473841659,-0.0009455403815126955,-0.0010134413084679648,-0.0009081480566321036,-0.001285222219738631,-0.0009724239456415519,-0.0005454623768877832,0.009240091047020602,-0.0008272927270559028,-0.0009629709452461147
gene_BRCA1,-0.0004479733845240902,-0.0010647295412194073,-0.0012392144138101682,-0.0013343837737234741,-0.0008571321361466981,0.003986978851728669,-0.0009317191356284759,-0.0006942778943825247,0.004065577922863714,-0.0008170933835836752,-0.0006660331115737872
gene_NF1,-0.0005043883251075905,-0.0006088752717633801,-0.000832857503227356,0.007564216892434357,-0.0006792216784473858,-0.0013884730931080487,-0.001290200361998346,-0.00043145956201346043,0.00034016555762790183,-0.0016881712317127415,-0.00048073542268394756
gene_GATA6,-0.001192710665331315,-0.0025036101496690973,-0.002042232740576374,0.006565169442394941,-0.0015325724938698784,2.1596429218767002e-05,-0.0017229831851479482,-0.0014993215526660979,-0.002734187810385234,0.008144204088522705,-0.001503351362490398
gene_SCN2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene_MPZ,-0.0006431940884492959,-0.0006110200365149362,-0.0006441002636592111,-0.0007451034377224316,-0.0006092617619472633,0.0063612593058103035,-0.0007511117277394859,-0.0005569047887134846,-0.0006779465399971565,-0.0006056380534028164,-0.0005169786076641528
gene_GBE1,-0.004123522851449306,-0.005866008510612678,-0.005043886758152764,0.04431152274141915,-0.002787990669319576,-0.00743737261331735,-0.0047355822033970174,-0.0033668781726751635,-0.0049413067903595585,-0.003507293111580912,-0.00250168106055581
gene_DLK1,-0.005979586772404243,-0.007788857243994694,-0.009139584798420022,-0.005657925042073779,-0.007576947491912263,-0.011242721968559485,0.1011746050314271,-0.00482621367057101,-0.02584688399466596,-0.017871004545786048,-0.005244879503039982
gene_KRT1,-0.00036056078834891724,-0.0004110242058698907,-0.0004964035209448244,-0.0005998693210186742,-0.00038957515790821506,0.005231467318394621,-0.0006652010316131328,-0.00029026495921778304,-0.0010610272616483932,-0.0006786902295117501,-0.0002788508423131829
PrevalenceMean,-0.3689809567607265,0.07443876057409604,0.09503202600234692,0.07970307607505275,0.07861354245391217,0.09560383918988066,0.05760944839033597,-0.33707761704718375,0.04778444808875835,0.0793328615308526,0.09794057150264947
