OrphaCode,DiseaseName,PrevalenceType,PrevalenceQualification,PrevalenceClass,ValMoy,PrevalenceGeographic
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.7,Austria
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,<1 / 1 000 000,0.08,United Kingdom
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 100 000,1.43,United Kingdom
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,<1 / 1 000 000,0.09,Netherlands
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,<1 / 1 000 000,0.063,Spain
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.89,Spain
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,<1 / 1 000 000,0.07,Denmark
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 100 000,1.09,Denmark
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,<1 / 1 000 000,0.079,Sweden
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 100 000,1.04,Sweden
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.132,Hungary
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 100 000,1.91,Hungary
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,<1 / 1 000 000,0.037,Australia
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.7,Australia
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,<1 / 1 000 000,0.07,United States
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 100 000,3.9,United States
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.495,India
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.495,Canada
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 100 000,2.6,India
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 100 000,3.42,Japan
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.39,Malaysia
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 100 000,1.94,Malaysia
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 100 000,1.51,"Iran, Islamic Republic of"
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,<1 / 1 000 000,0.053,Cuba
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.52,Cuba
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-5 / 10 000,10.0,Martinique
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.285,Costa rica
71267,Dentinogenesis imperfecta-short stature-hearing loss-intellectual disability syndrome,Cases/families,Case(s),,2.0,Worldwide
71267,Dentinogenesis imperfecta-short stature-hearing loss-intellectual disability syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
71213,Retinal capillary malformation,Point prevalence,Class only,Unknown,0.0,Worldwide
71198,Rare pulmonary hypertension,Point prevalence,Class only,Unknown,0.0,Worldwide
558411,Idiopathic gastroparesis,Point prevalence,Value and class,1-5 / 10 000,11.4,Specific population
70591,Chronic thromboembolic pulmonary hypertension,Point prevalence,Class only,Unknown,0.0,Worldwide
70591,Chronic thromboembolic pulmonary hypertension,Annual incidence,Value and class,1-9 / 100 000,4.2,Europe
70591,Chronic thromboembolic pulmonary hypertension,Annual incidence,Value and class,1-9 / 100 000,5.1,United States
